"city","district","statetin","pincode","created_at","updated_at"
"Vijayawada (Urban)","Krishna",37,520001,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520003,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521101,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521225,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521456,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521175,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521181,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vijayawada (Urban)","Krishna",37,520012,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Krishna","Krishna",37,521227,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Bapatla","Guntur",37,522329,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Vuyyuru","Krishna",37,521165,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kothapeta Taluk","East Godavari",37,533223,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kothapeta Taluk","East Godavari",37,533229,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516421,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516484,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kamalapuram","Cuddapah",37,516289,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516396,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Cuddapah","Cuddapah",37,516218,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kamalapuram","Cuddapah",37,516339,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Cuddapah","Cuddapah",37,516216,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivedla","Cuddapah",37,516454,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516350,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Muddanur","Cuddapah",37,516474,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516401,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516329,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Cuddapah","Cuddapah",37,516293,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516349,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Muddanur","Cuddapah",37,516444,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kamalapuram","Cuddapah",37,516321,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516390,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Pulivendla","Cuddapah",37,516391,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Muddanur","Cuddapah",37,516464,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kamalapuram","Cuddapah",37,516310,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalmadugu","Cuddapah",37,516433,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516431,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516175,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalamadugu","Cuddapah",37,516434,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalamadugu","Cuddapah",37,516434,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516362,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516359,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Muddanur","Cuddapah",37,516380,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Mylavaram","Cuddapah",37,516439,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516172,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516173,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalamadugu","Cuddapah",37,516411,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Proddatur","Cuddapah",37,516360,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Jammalamadugu","Cuddapah",37,516432,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Kamalapuram","Cuddapah",37,516309,"2018-06-30 22:47:43","2018-06-30 22:47:43"
"Yerraguntla","Cuddapah",37,516309,"2018-06-30 22:47:43","2018-06-30 22:47:43"
